Position,Artist Name,Song Name,Days,Total Streams
141,XXXTENTACION,Everybody Dies In Their Nightmares,772,238214306
142,Desiigner,Panda,518,237739871
143,Shawn Mendes,Señorita,400,236868842
144,Fleetwood Mac,Dreams  2004 Remaster,781,236167945
145,Cardi B,Bodak Yellow,489,235788390
146,Bobby Helms,Jingle Bell Rock,335,235335220
147,Drake,Jumpman,584,235129660
148,Trevor Daniel,Falling,455,234818302
149,Bad Bunny,DÁKITI,596,234636216
150,Rihanna,Needed Me,494,233794067
151,5 Seconds of Summer,Youngblood,608,233302902
152,The Killers,Mr. Brightside,877,232977345
153,Baby Keem,family ties,487,232461442
154,Doja Cat,Woman,489,232370353
155,Arctic Monkeys,505,692,231800625
156,Lil Nas X,Old Town Road  Remix,317,229868299
157,DJ Khaled,I'm the One,332,227464533
158,Drake,Hotline Bling,555,226915487
159,A Boogie Wit da Hoodie,Drowning,591,225834058
160,XXXTENTACION,changes,560,225063813
161,Machine Gun Kelly,my ex's best friend,596,223702831
162,Bazzi,Mine,510,223577524
163,Zedd,The Middle,561,223370198
164,Justin Bieber,Sorry,466,222779216
165,Conan Gray,Heather,647,222474626
166,Post Malone,Goodbyes (Feat. Young Thug),329,220243023
167,XXXTENTACION,Look At Me!,668,218130170
168,Bad Bunny,Me Porto Bonito,237,217545422
169,J. Cole,Wet Dreamz,1130,217277232
170,Andy Williams,It's the Most Wonderful Time of the Year,342,214480695
171,Jack Harlow,WHATS POPPIN,444,212620780
172,Lewis Capaldi,Before You Go,672,211623667
173,Juice WRLD,Lean Wit Me,671,209772076
174,Tame Impala,The Less I Know The Better,893,209554986
175,Bad Bunny,Tití Me Preguntó,237,207857104
176,Twenty One Pilots,Ride,708,207848346
177,Kendrick Lamar,All The Stars,404,207519025
178,Twenty One Pilots,Stressed Out,706,207439306
179,Billie Eilish,Happier Than Ever,459,207031225
180,Aminé,Caroline,537,206635412
181,6ix9ine,FEFE,271,206222122
182,Drake,Too Good,359,205088227
183,Khalid,Love Lies,445,204075140
184,Justin Bieber,Peaches,312,203494777
185,Kendrick Lamar,Money Trees,726,203375167
186,Young Thug,The London,401,203093189
187,Future,Low Life,604,202769617
188,Panic! At The Disco,High Hopes,535,201888489
189,SAINt JHN,Roses  Imanbek Remix,431,201135462
190,Powfu,death bed,478,200371352
191,Rae Sremmurd,Black Beatles,384,200178133
192,Rihanna,Work,408,199973584
193,Billie Eilish,everything i wanted,435,199922212
194,Jonas Brothers,Sucker,414,199695180
195,Rich The Kid,Plug Walk,417,198858962
196,Justin Bieber,Love Yourself,458,198773307
197,Migos,Slippery,477,197966789
198,21 Savage,a lot,412,197950103
199,Flipp Dinero,Leave Me Alone,418,197450612
200,Dan + Shay,Tequila,723,196958667
201,Bryson Tiller,Exchange,837,196861471
202,Twenty One Pilots,Heathens,410,195918435
203,Doja Cat,Streets,477,195884808
204,Wham!,Last Christmas,315,195381527
205,Jack Harlow,First Class,231,195314542
206,Fetty Wap,Trap Queen,622,194792972
207,The Weeknd,Can't Feel My Face,543,194406860
208,Bruno Mars,Leave The Door Open,400,193296752
209,Kodak Black,Roll In Peace,518,192647458
210,The Neighbourhood,Daddy Issues,705,192551331
211,Morgan Wallen,More Than My Hometown,697,191448082
212,Gucci Mane,Wake Up in the Sky,340,189926403
213,Marshmello,Silence,468,189144242
214,Michael Bublé,It's Beginning to Look a Lot Like Christmas,357,187463596
215,Maroon 5,Girls Like You,383,186579571
216,Justin Bieber,What Do You Mean?,413,185795808
217,The Weeknd,Call Out My Name,471,185191010
218,BØRNS,Electric Love,737,185017224
219,NF,Let You Down,480,184436690
220,Fifth Harmony,Work from Home,420,184122003
221,Drake,Controlla,400,183609837
222,Morgan Wallen,Chasin' You,687,183121183
223,Ariana Grande,Santa Tell Me,348,182490361
224,Ed Sheeran,Thinking out Loud,792,182153495
225,Pop Smoke,What You Know Bout Love,422,182024316
226,Lil Mosey,Noticed,531,181647697
227,Mike Posner,I Took A Pill In Ibiza  Seeb Remix,442,181197216
228,Ed Sheeran,Perfect,488,180975541
229,Ariana Grande,no tears left to cry,384,180563889
230,Chance the Rapper,No Problem,568,180053419
231,Mustard,Pure Water,396,180042907
232,Dan + Shay,Speechless,662,179301739
233,The Chainsmokers,Roses,520,178699372
234,Khalid,Talk,341,178662883
235,G,Eazy  No Limit,373,178639729
236,21 Savage,X,555,178576237
237,Surf Curse,Freaks,556,178535641
238,Demi Lovato,Sorry Not Sorry,379,177157747
239,Billie Eilish,bury a friend,364,176834584
240,Kodak Black,Tunnel Vision,396,176688536
241,Surfaces,Sunday Best,412,176430872
242,Sleepy Hallow,2055,454,176244822
243,Migos,Stir Fry,336,175630677
244,A Boogie Wit da Hoodie,Look Back At It,366,175483878
245,Justin Bieber,Intentions,328,175135180
246,Post Malone,Go Flex,673,174710816
247,The Walters,I Love You So,431,174547021
248,Ed Sheeran,Bad Habits,350,174488164
249,A$AP Ferg,Plain Jane,408,174255086
250,Famous Dex,PICK IT UP,421,173990426
251,Major Lazer,Lean On,588,173817845
252,Elton John,Cold Heart  PNAU Remix,408,173542648
253,Dua Lipa,New Rules,399,173328947
254,Ed Sheeran,Shivers,399,173225595
255,Mac Miller,The Spins,612,173209349
256,Adele,Easy On Me,246,173180228
257,Ariana Grande,positions,333,172797966
258,Tate McRae,you broke me first,503,172703722
259,Kodak Black,Super Gremlin,346,171909115
260,Lil Nas X,Panini,249,171512571
261,Drake,Way 2 Sexy,280,170202629
262,Roddy Ricch,High Fashion,354,169149991
263,Ed Sheeran,I Don't Care,323,168839409
264,Billie Eilish,ocean eyes,623,168543006
265,Migos,Walk It Talk It,358,168214275
266,Lady Gaga,Shallow,403,167883840
267,Drake,Jimmy Cooks,195,166499191
268,Doja Cat,Say So,308,165898476
269,Fetty Wap,679,501,165220739
270,Kali Uchis,telepatía,395,164803198
271,Calboy,Envy Me,440,164149940
272,Justin Bieber,Ghost,399,163964781
273,Adele,Hello,404,163937424
274,Joji,Glimpse of Us,201,163315058
275,Burl Ives,A Holly Jolly Christmas  Single Version,278,163198351
276,Julia Michaels,Issues,414,163082925
277,Kate Bush,Running Up That Hill (A Deal With God),182,163034803
278,Migos,TShirt,393,162318539
279,Giveon,HEARTBREAK ANNIVERSARY,371,162181516
280,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),378,161895465
281,Drake,Toosie Slide,239,161667752
282,Kanye West,Father Stretch My Hands Pt. 1,607,161479699
283,Zedd,Stay,317,161032066
284,Major Lazer,Cold Water,274,160700352
285,Lil Nas X,THATS WHAT I WANT,358,160369392
286,Future,WAIT FOR U,243,160359546
287,Lil Uzi Vert,Sanguine Paradise,382,160244733
288,Maroon 5,Memories,372,159686092
289,Lil Pump,Gucci Gang,242,159368635
290,Lil Uzi Vert,Money Longer,648,159142673
291,DJ Snake,Let Me Love You,300,158366154
292,Hailee Steinfeld,Starving,423,158320524
293,JP Saxe,If The World Was Ending,520,156928093
294,The Chainsmokers,Something Just Like This,364,156839599
295,Olivia Rodrigo,favorite crime,384,156762362
296,Chris Stapleton,Tennessee Whiskey,747,156707370
297,Gucci Mane,I Get The Bag,335,156184444
298,Masked Wolf,Astronaut In The Ocean,290,155387513
299,Khalid,Saturday Nights,391,154969059
300,H.E.R.,Best Part,635,154582091
301,Rob $tone,Chill Bill,442,154052440
302,YNW Melly,223's,325,152984591
303,Hozier,Take Me To Church,644,152777306
304,Ed Sheeran,Beautiful People,309,152409919
305,Playboi Carti,Magnolia,365,151502606
306,Beach House,Space Song,549,151348745
307,JAY,Z  Ni**as In Paris,995,151213181
308,Calvin Harris,This Is What You Came For,288,149620244
309,Ariana Grande,34+35,291,148864140
310,Don Toliver,After Party,400,148828688
311,Lizzo,About Damn Time,243,148776441
312,Calvin Harris,Slide,281,148615807
313,Juice WRLD,Righteous,333,148152203
314,THE SCOTTS,THE SCOTTS,237,147793519
315,The Kid LAROI,WITHOUT YOU,338,147434939
316,Young Thug,pick up the phone,552,146950542
317,Zach Bryan,Something in the Orange,251,146934063
318,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",437,146405505
319,Shawn Mendes,Stitches,535,146222899
320,Pop Smoke,Dior,532,145804298
321,Doja Cat,Ain't Shit,356,145660715
322,Lil Tjay,Calling My Phone,301,145633110
323,Charlie Puth,Attention,346,145299789
324,Lil Skies,Nowadays,441,144878462
325,Doja Cat,You Right,386,144688259
326,Drake,Portland,331,144664417
327,Bing Crosby,White Christmas,280,144606354
328,Harry Styles,Late Night Talking,219,144096811
329,Jay Rock,King's Dead,292,144088666
330,Cardi B,Up,247,143743718
331,Bad Bunny,MIA,287,143656931
332,Hailee Steinfeld,Let Me Go,357,143350902
333,The Weeknd,I Feel It Coming,331,143319177
334,Sia,Cheap Thrills,371,142986096
335,SZA,Love Galore,426,142655912
336,Lukas Graham,7 Years,414,142277410
337,Morgan Wallen,You Proof,230,141716685
338,Rae Sremmurd,Swang,393,141632137
339,Nat King Cole,The Christmas Song (Merry Christmas To You),232,141071360
340,Dean Lewis,Be Alright,453,141016791
341,Post Malone,I Like You (A Happier Song),208,140872042
342,Lil Xan,Betrayed,374,140250610
343,Yot Club,YKWIM?,504,139804345
344,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,330,139730182
345,Sam Smith,Dancing With A Stranger,328,138760630
346,Doja Cat,Get Into It (Yuh),391,138640495
347,Migos,MotorSport,311,138467640
348,Carolina Gaitán,La Gaita  We Don't Talk About Bruno,201,138398595
349,Harry Styles,Falling,501,138072456
350,DJ Khaled,Wild Thoughts,231,138033504
351,Lil Uzi Vert,You Was Right,501,138001040
352,Kiiara,Gold,403,137920503
353,Kanye West,Heartless,439,137403023
354,Luke Combs,Forever After All,403,137048398
355,Mark Ronson,Uptown Funk,531,136885294
356,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,305,136448853
357,Y2K,Lalala,321,136394278
358,Ski Mask The Slump God,Faucet Failure,415,136293354
359,Jack Ü,Where Are Ü Now,447,135999812
360,Flo Rida,My House,411,135782448
361,Noah Cyrus,July,509,135753612
362,Lil Tjay,F.N,442,135359031
363,DJ Khaled,POPSTAR,317,135192435
364,Saweetie,Best Friend,299,135156338
365,Bad Bunny,Efecto,236,134743830
366,The Weeknd,Save Your Tears,327,134482363
367,Ariana Grande,Side To Side,332,134449731
368,Bad Bunny,Yonaguni,347,133665412
369,Liam Payne,Strip That Down,311,133182143
370,The Weeknd,Earned It (Fifty Shades Of Grey),532,132827332
371,Drake,Fair Trade,301,132758753
372,Morgan Wallen,Sand In My Boots,460,132664367
373,Trippie Redd,Miss The Rage,349,132399703
374,Bruno Mars,24K Magic,349,132118188
375,Lil Nas X,Old Town Road,175,132031403
376,ZAYN,PILLOWTALK,297,131983424
377,BTS,Dynamite,332,131917493
378,Kygo,It Ain't Me,272,130487216
379,DaBaby,VIBEZ,285,129872425
380,Russ,Losin Control,512,129835284
381,Portugal. The Man,Feel It Still,331,129571919
382,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),321,129400161
383,Shawn Mendes,Treat You Better,321,129275991
384,Bad Bunny,Moscow Mule,219,128972121
385,Cardi B,Money,273,128812752
386,Morgan Wallen,7 Summers,388,128247607
387,José Feliciano,Feliz Navidad,222,128148147
388,Travis Scott,YOSEMITE,320,127780533
389,Famous Dex,JAPAN,299,127676006
390,Farruko,Pepas,337,127483860
391,Justin Bieber,Mistletoe,295,127188550
392,THE ANXIETY,Meet Me At Our Spot,281,126861687
393,Polo G,21,425,126417091
394,Vance Joy,Riptide,753,126349492
395,DJ Snake,Taki Taki,238,126096694
396,Grouplove,Tongue Tied,525,125880696
397,Diplo,Heartless,444,125811158
398,StaySolidRocky,Party Girl,239,125662367
399,Taylor Swift,AntiHero,69,124825787
400,Quality Control,Baby (Lil Baby feat. DaBaby),308,124162581
401,Billie Eilish,idontwannabeyouanymore,400,123991487
402,Queen,Bohemian Rhapsody  Remastered 2011,420,123761624
403,NLE Choppa,Camelot,297,123589568
404,Luke Combs,When It Rains It Pours,565,123431139
405,Flume,Never Be Like You,357,123343026
406,J Balvin,LA CANCIÓN,443,123298668
407,Lil Baby,Woah,269,122876453
408,OneRepublic,I Ain't Worried,206,122488638
409,Playboi Carti,Shoota,420,122469617
410,2 Chainz,It's A Vibe,403,122067552
411,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),234,121176458
412,Juice WRLD,Legends,418,121077739
413,Rae Sremmurd,Powerglide,263,120839941
414,XXXTENTACION,Revenge,412,120698497
415,Ariana Grande,God is a woman,227,120468984
416,Chris Brown,Go Crazy,345,120431219
417,Martin Garrix,In the Name of Love,304,120205635
418,Sam Smith,Unholy,98,120201022
419,Pop Smoke,Mood Swings,306,119371547
420,The Chainsmokers,Paris,224,119358756
421,Lil Skies,Red Roses,365,119331204
422,Wiz Khalifa,See You Again,452,119131650
423,Billie Eilish,wish you were gay,271,119110503
424,Måneskin,Beggin',231,118922920
425,DNCE,Cake By The Ocean,420,118801783
426,Kanye West,Bound 2,361,118764637
427,Travis Scott,Antidote,535,118146637
428,The Kid LAROI,GO,350,117833168
429,Post Malone,Take What You Want,229,117464544
430,Michael Bublé,Holly Jolly Christmas,266,117362413
431,Jordan Davis,Buy Dirt,446,117239640
432,Bad Bunny,Ojitos Lindos,226,117064880
433,Cochise,Tell Em,352,116861554
434,Miguel,Sky Walker,302,116395947
435,Lil Peep,Falling Down  Bonus Track,236,116066331
436,Kelly Clarkson,Underneath the Tree,202,115764085
437,Lil Skies,Lust,426,115693481
438,The Weeknd,Heartless,232,115431955
439,Ellie Goulding,Hate Me,370,115056947
440,Wallows,Are You Bored Yet?,420,114791296
441,Travis Scott,STARGAZING,225,114669162
442,Ariana Grande,Into You,305,114250630
443,Eminem,'Till I Collapse,771,114132725
444,NLE Choppa,Walk Em Down,246,113510926
445,DJ Snake,Middle,353,113465863
446,Khalid,OTW,294,113437143
447,Taylor Swift,You Need To Calm Down,250,113303615
448,Playboi Carti,Sky,361,113291304
449,Lil Wayne,Sucker For Pain,344,113258771
450,Maroon 5,What Lovers Do,227,113203255
451,d4vd,Romantic Homicide,149,112839982
452,Drake,I'm Upset,170,112748287
453,GAYLE,abcdefu,210,112733991
454,Justin Bieber,Holy,248,112093148
455,YNW Melly,Suicidal,216,111505967
456,Post Malone,Enemies,255,111333320
457,CJ,Whoopty,230,111327394
458,WILLOW,Wait a Minute!,384,111162304
459,Ed Sheeran,Photograph,679,111120972
460,A$AP Rocky,Praise The Lord (Da Shine),281,110819424
461,21 Savage,No Heart,382,110613158
462,YG,BIG BANK,267,110251626
463,Billie Eilish,Therefore I Am,237,109936841
464,Nio Garcia,Te Boté  Remix,303,109733059
465,Cardi B,Bartier Cardi,221,109650225
466,Kid Cudi,Pursuit Of Happiness (Nightmare),413,109480124
467,J Balvin,Mi Gente,238,109423268
468,Ava Max,Sweet but Psycho,320,109220489
469,Walker Hayes,Fancy Like,303,109183937
470,Selena Gomez,Lose You To Love Me,186,109150331
471,Olivia Rodrigo,happier,228,109009363
472,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,187,108868445
473,Lil Durk,Broadway Girls,291,108689365
474,Morgan Wallen,Cover Me Up,437,108508201
475,blackbear,do re mi,373,108380091
476,Sam Smith,Stay With Me,548,108129184
477,Shawn Mendes,There's Nothing Holdin' Me Back,278,107955518
478,Kanye West,I Love It (& Lil Pump),175,107854141
479,Jeremih,oui,419,107730094
480,Camila Cabello,Never Be the Same,236,107372683
481,Billie Eilish,you should see me in a crown,325,107243178
482,Shawn Mendes,If I Can't Have You,209,107192421
483,Yo Gotti,Rake It Up,284,107156568
484,Post Malone,Ball For Me,215,107079418
485,Post Malone,One Right Now,261,106856619
486,Eminem,Lucky You,207,106685258
487,Olivia Rodrigo,brutal,211,106587197
488,Ali Gatie,It's You,297,106473404
489,Bazzi,Beautiful,290,105769712
490,Rich The Kid,New Freezer,310,105262051
491,Niall Horan,Slow Hands,271,105220848
492,Frank Ocean,Lost,303,105158717
493,Pooh Shiesty,Back In Blood,283,105011176
494,Maroon 5,Sugar,478,104864460
495,Elvis Presley,Blue Christmas,254,104768563
496,Lil Baby,We Paid,283,104746275
497,The Ronettes,Sleigh Ride,188,104353068
498,Childish Gambino,This Is America,157,103964722
499,Russ,What They Want,537,103833455
500,Lil Peep,Star Shopping,416,102969266
501,YNW Melly,Mixed Personalities,225,102953208
502,Sam Smith,Too Good At Goodbyes,219,102793276
503,JACKBOYS,OUT WEST,262,102677098
504,Halsey,Now Or Never,254,102516119
505,Jack Harlow,Tyler Herro,285,102414445
506,Marshmello,FRIENDS,234,102354557
507,XXXTENTACION,Hope,327,102329254
508,Halsey,Bad At Love,260,101922633
509,Lil Dicky,Freaky Friday,192,101868561
510,Juice WRLD,Wasted,268,101797919
511,Metro Boomin,Space Cadet,266,101688152
512,Zara Larsson,Never Forget You,280,101316722
513,PARTYNEXTDOOR,Come and See Me,448,101074101
514,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),205,100920020
515,Imagine Dragons,Enemy,231,100835953
516,Perry Como,It's Beginning to Look a Lot Like Christmas,206,100817505
517,Megan Thee Stallion,Savage Remix,196,100761690
518,Nicky Youre,Sunroof,238,100753638
519,Drake,Pop Style,280,100358319
520,Drake,Back To Back,410,100323465
521,Selena Gomez,Wolves,212,100276358
522,WALK THE MOON,Shut Up and Dance,480,100209488
523,Big Sean,I Don't Fuck With You,532,99659160
524,Lord Huron,The Night We Met,405,99390592
525,XXXTENTACION,the remedy for a broken heart (why am I so in love),287,99380590
526,Ritt Momney,Put Your Records On,277,99070218
527,Stephen Sanchez,Until I Found You,229,98647110
528,Charlie Puth,We Don't Talk Anymore,319,98211121
529,Conan Gray,Maniac,382,98117699
530,Major Lazer,Light It Up,322,98079211
531,Blueface,Thotiana,175,98052157
532,Bad Bunny,Party,192,97935403
533,Drake,Rich Flex,55,97928728
534,YBN Nahmir,Bounce Out With That,316,97885440
535,Bruno Mars,Finesse  Remix; feat. Cardi B,181,97451275
536,Kane Brown,Be Like That,302,97216562
537,Ariana Grande,breathin,203,97210521
538,Cage The Elephant,Cigarette Daydreams,418,97198449
539,Jawsh 685,Savage Love (Laxed  Sired Beat),204,97044129
540,Chuck Berry,Run Rudolph Run  Single Version,228,96924483
541,G Herbo,PTSD,317,96878801
542,FRENSHIP,Capsize,282,96799483
543,Band Aid,Do They Know It's Christmas?  1984 Version,204,96606504
544,Juice WRLD,Hate The Other Side,247,96515557
545,Nicki Minaj,Super Freaky Girl,137,96391022
546,Kanye West,Flashing Lights,338,96363563
547,The Weeknd,Often,585,95876024
548,Young Thug,Hot,191,95787556
549,Lady Gaga,Rain On Me,209,95611004
550,Kane Brown,Heaven,351,95521001
551,Lil Mosey,Stuck In A Dream,241,95475910
552,Eslabon Armado,Jugaste y Sufrí,278,95201278
553,DaBaby,TOES,238,94674586
554,Sam Smith,How Do You Sleep?,181,94468000
555,Machine Gun Kelly,Bad Things  With Camila Cabello,210,94454737
556,Future,PUFFIN ON ZOOTIEZ,225,94325787
557,Future,Fine China,213,94225744
558,Kevin Gates,2 Phones,337,94221975
559,Sia,Chandelier,589,94195494
560,Don Toliver,No Idea,246,93790452
561,Drake,What’s Next,189,93677191
562,Playboi Carti,wokeuplikethis*,325,93644916
563,Bad Bunny,Después de la Playa,177,93328473
564,Kane Brown,What Ifs,381,93232207
565,Selena Gomez,Back To You,234,93219297
566,Pop Smoke,The Woo,215,93098286
567,Luis Fonsi,Despacito (Featuring Daddy Yankee),261,93020729
568,Journey,Don't Stop Believin',419,93020470
569,Drake,Energy,458,92386459
570,Migos,Narcos,228,92278196
571,Bazzi,Paradise,251,92269595
572,Marshmello,One Thing Right,238,91972872
573,Lil Skies,i,282,91934808
574,Billie Eilish,i love you,315,91793788
575,Kodak Black,Codeine Dreaming,218,91629494
576,Gunna,pushin P,156,91543896
577,Drake,Chicago Freestyle,245,91252372
578,Gunna,DOLLAZ ON MY HEAD,230,91048768
579,The Weeknd,Party Monster,221,90931727
580,Luke Combs,Hurricane,417,90807884
581,Selena Gomez,Good For You,309,89918074
582,Fetty Wap,Again,344,89804385
583,Alessia Cara,Here,323,89798695
584,Taylor Swift,Look What You Made Me Do,163,89718682
585,The Weeknd,Pray For Me,148,89699614
586,Young Thug,Relationship,327,89108978
587,JVKE,golden hour,128,89077530
588,Lizzo,Good As Hell,204,88713657
589,KAROL G,PROVENZA,210,88539867
590,Alessia Cara,Scars To Your Beautiful,264,88330659
591,Luke Combs,The Kind of Love We Make,193,88164187
592,Harry Styles,Lights Up,205,87724368
593,Drake,Gyalchester,215,87719286
594,Bad Bunny,Callaita,255,87611768
595,Dua Lipa,IDGAF,227,87357163
596,Zara Larsson,Lush Life,322,87351222
597,J. Cole,Work Out,346,86907626
598,Dove Cameron,Boyfriend,236,86719217
599,G,Eazy  Him & I,156,86593035
600,Maroon 5,Don't Wanna Know,188,86541563
601,Tiësto,Jackie Chan,198,86521189
602,Kent Jones,Don't Mind,197,86485934
603,Ed Sheeran,Castle on the Hill,236,86482770
604,BENEE,Supalonely,176,86449441
605,Bailey Zimmerman,Rock and A Hard Place,201,86200828
606,Drake,Know Yourself,419,85852793
607,French Montana,No Stylist,201,85747254
608,SZA,I Hate U,175,85718549
609,Calvin Harris,One Kiss,176,85666961
610,Future,Where Ya At,447,85639079
